feature,importance
PREV_NAME_GOODS_CATEGORY_Mobile_MEAN,0
PREV_NAME_GOODS_CATEGORY_Photo / Cinema Equipment_MEAN,0
PREV_NAME_GOODS_CATEGORY_Sport and Leisure_MEAN,0
PREV_NAME_PORTFOLIO_Cash_MEAN,0
PREV_NAME_PORTFOLIO_XNA_MEAN,0
PREV_NAME_PRODUCT_TYPE_XNA_MEAN,0
PREV_NAME_PRODUCT_TYPE_walk-in_MEAN,5
PREV_NAME_PRODUCT_TYPE_x-sell_MEAN,0
PREV_CHANNEL_TYPE_AP+ (Cash loan)_MEAN,0
PREV_CHANNEL_TYPE_Channel of corporate sales_MEAN,0
PREV_CHANNEL_TYPE_Contact center_MEAN,0
PREV_CHANNEL_TYPE_Country-wide_MEAN,0
PREV_CHANNEL_TYPE_Credit and cash offices_MEAN,1
PREV_CHANNEL_TYPE_Regional / Local_MEAN,0
PREV_CHANNEL_TYPE_Stone_MEAN,0
PREV_NAME_SELLER_INDUSTRY_Connectivity_MEAN,4
PREV_NAME_SELLER_INDUSTRY_Construction_MEAN,0
PREV_NAME_SELLER_INDUSTRY_Consumer electronics_MEAN,2
PREV_NAME_SELLER_INDUSTRY_Industry_MEAN,0
PREV_NAME_YIELD_GROUP_XNA_MEAN,1
PREV_NAME_YIELD_GROUP_high_MEAN,12
PREV_NAME_YIELD_GROUP_low_action_MEAN,0
PREV_NAME_YIELD_GROUP_low_normal_MEAN,17
PREV_NAME_YIELD_GROUP_middle_MEAN,4
PREV_PRODUCT_COMBINATION_Card Street_MEAN,0
PREV_PRODUCT_COMBINATION_Card X-Sell_MEAN,0
PREV_PRODUCT_COMBINATION_Cash_MEAN,1
PREV_PRODUCT_COMBINATION_Cash Street_ high_MEAN,0
PREV_PRODUCT_COMBINATION_Cash Street_ low_MEAN,0
PREV_PRODUCT_COMBINATION_Cash Street_ middle_MEAN,0
PREV_PRODUCT_COMBINATION_Cash X-Sell_ high_MEAN,0
PREV_PRODUCT_COMBINATION_Cash X-Sell_ low_MEAN,0
PREV_PRODUCT_COMBINATION_Cash X-Sell_ middle_MEAN,0
PREV_PRODUCT_COMBINATION_POS household with interest_MEAN,0
PREV_PRODUCT_COMBINATION_POS household without interest_MEAN,0
PREV_PRODUCT_COMBINATION_POS industry with interest_MEAN,0
PREV_PRODUCT_COMBINATION_POS industry without interest_MEAN,0
PREV_PRODUCT_COMBINATION_POS mobile with interest_MEAN,0
PREV_PRODUCT_COMBINATION_POS mobile without interest_MEAN,0
PREV_PRODUCT_COMBINATION_POS other with interest_MEAN,0
APPROVED_AMT_APPLICATION_MIN,0
APPROVED_AMT_APPLICATION_MAX,2
APPROVED_AMT_APPLICATION_MEAN,0
APPROVED_APP_CREDIT_PERC_VAR,0
APPROVED_DAYS_DECISION_MAX,0
APPROVED_CNT_PAYMENT_MEAN,0
APPROVED_CNT_PAYMENT_SUM,0
REFUSED_AMT_ANNUITY_MIN,2
REFUSED_AMT_ANNUITY_MAX,0
REFUSED_AMT_APPLICATION_MIN,4
REFUSED_AMT_APPLICATION_MAX,0
REFUSED_APP_CREDIT_PERC_MIN,0
REFUSED_APP_CREDIT_PERC_MAX,0
REFUSED_APP_CREDIT_PERC_MEAN,1
REFUSED_HOUR_APPR_PROCESS_START_MIN,0
REFUSED_HOUR_APPR_PROCESS_START_MAX,0
REFUSED_DAYS_DECISION_MIN,0
REFUSED_DAYS_DECISION_MAX,2
REFUSED_CNT_PAYMENT_MEAN,0
REFUSED_CNT_PAYMENT_SUM,0
POS_MONTHS_BALANCE_MAX,0
POS_MONTHS_BALANCE_MEAN,1
POS_MONTHS_BALANCE_SIZE,0
POS_SK_DPD_MAX,0
POS_SK_DPD_DEF_MAX,0
POS_NAME_CONTRACT_STATUS_Active_MEAN,0
POS_NAME_CONTRACT_STATUS_Completed_MEAN,3
POS_NAME_CONTRACT_STATUS_Returned to the store_MEAN,0
POS_NAME_CONTRACT_STATUS_Signed_MEAN,0
INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE,4
INSTAL_DPD_MAX,3
INSTAL_DPD_MEAN,0
INSTAL_DPD_SUM,0
INSTAL_DBD_MAX,0
INSTAL_DBD_MEAN,1
INSTAL_DBD_SUM,0
INSTAL_PAYMENT_PERC_MAX,0
INSTAL_PAYMENT_PERC_MEAN,0
INSTAL_PAYMENT_PERC_VAR,0
INSTAL_PAYMENT_DIFF_MAX,1
INSTAL_PAYMENT_DIFF_MEAN,0
INSTAL_PAYMENT_DIFF_SUM,0
INSTAL_PAYMENT_DIFF_VAR,0
INSTAL_AMT_INSTALMENT_MAX,1
INSTAL_AMT_INSTALMENT_MEAN,0
INSTAL_AMT_INSTALMENT_SUM,5
INSTAL_AMT_PAYMENT_MIN,1
INSTAL_DAYS_ENTRY_PAYMENT_MAX,1
INSTAL_DAYS_ENTRY_PAYMENT_SUM,1
CC_MONTHS_BALANCE_MIN,0
CC_MONTHS_BALANCE_MAX,0
CC_AMT_BALANCE_MIN,0
CC_AMT_BALANCE_MAX,0
CC_AMT_BALANCE_MEAN,0
CC_AMT_BALANCE_SUM,0
CC_AMT_BALANCE_VAR,0
CC_AMT_CREDIT_LIMIT_ACTUAL_MIN,0
CC_AMT_CREDIT_LIMIT_ACTUAL_MAX,0
CC_AMT_CREDIT_LIMIT_ACTUAL_SUM,0
CC_AMT_CREDIT_LIMIT_ACTUAL_VAR,0
CC_AMT_DRAWINGS_ATM_CURRENT_SUM,0
CC_AMT_DRAWINGS_CURRENT_MIN,0
CC_AMT_DRAWINGS_CURRENT_MAX,0
CC_AMT_DRAWINGS_CURRENT_MEAN,0
CC_AMT_DRAWINGS_CURRENT_SUM,0
CC_AMT_DRAWINGS_CURRENT_VAR,0
CC_AMT_DRAWINGS_OTHER_CURRENT_SUM,0
CC_AMT_DRAWINGS_POS_CURRENT_SUM,0
CC_AMT_INST_MIN_REGULARITY_MIN,0
CC_AMT_PAYMENT_TOTAL_CURRENT_MIN,0
CC_AMT_PAYMENT_TOTAL_CURRENT_MAX,0
CC_AMT_PAYMENT_TOTAL_CURRENT_MEAN,0
CC_AMT_PAYMENT_TOTAL_CURRENT_VAR,0
CC_CNT_DRAWINGS_ATM_CURRENT_SUM,0
CC_CNT_DRAWINGS_CURRENT_MAX,0
CC_CNT_DRAWINGS_CURRENT_MEAN,0
CC_CNT_DRAWINGS_CURRENT_SUM,0
CC_CNT_DRAWINGS_CURRENT_VAR,0
CC_CNT_INSTALMENT_MATURE_CUM_MAX,0
CC_NAME_CONTRACT_STATUS_Active_MEAN,0
CC_NAME_CONTRACT_STATUS_Active_VAR,0
