feature,importance
CLOSED_DAYS_CREDIT_ENDDATE_MIN,1
CLOSED_DAYS_CREDIT_ENDDATE_MAX,1
CLOSED_DAYS_CREDIT_ENDDATE_MEAN,1
CLOSED_DAYS_CREDIT_UPDATE_MEAN,0
CLOSED_AMT_CREDIT_SUM_MAX,0
CLOSED_AMT_CREDIT_SUM_MEAN,0
CLOSED_AMT_CREDIT_SUM_SUM,4
CLOSED_AMT_CREDIT_SUM_DEBT_MAX,0
CLOSED_AMT_CREDIT_SUM_DEBT_MEAN,0
CLOSED_AMT_CREDIT_SUM_LIMIT_MEAN,0
CLOSED_AMT_ANNUITY_MEAN,0
CLOSED_MONTHS_BALANCE_MIN_MIN,1
CLOSED_MONTHS_BALANCE_MAX_MAX,0
CLOSED_MONTHS_BALANCE_SIZE_MEAN,0
PREV_AMT_ANNUITY_MIN,0
PREV_AMT_ANNUITY_MAX,2
PREV_AMT_ANNUITY_MEAN,2
PREV_AMT_APPLICATION_MIN,17
PREV_AMT_APPLICATION_MAX,1
PREV_AMT_APPLICATION_MEAN,0
PREV_APP_CREDIT_PERC_MIN,4
PREV_APP_CREDIT_PERC_MAX,15
PREV_APP_CREDIT_PERC_MEAN,0
PREV_APP_CREDIT_PERC_VAR,5
PREV_AMT_DOWN_PAYMENT_MIN,4
PREV_AMT_DOWN_PAYMENT_MAX,11
PREV_AMT_DOWN_PAYMENT_MEAN,1
PREV_AMT_GOODS_PRICE_MIN,0
PREV_HOUR_APPR_PROCESS_START_MIN,0
PREV_HOUR_APPR_PROCESS_START_MAX,74
PREV_HOUR_APPR_PROCESS_START_MEAN,0
PREV_RATE_DOWN_PAYMENT_MIN,19
PREV_RATE_DOWN_PAYMENT_MAX,19
PREV_RATE_DOWN_PAYMENT_MEAN,5
PREV_DAYS_DECISION_MIN,22
PREV_DAYS_DECISION_MAX,1
PREV_DAYS_DECISION_MEAN,1
PREV_CNT_PAYMENT_MEAN,16
PREV_CNT_PAYMENT_SUM,3
PREV_NAME_CONTRACT_TYPE_Cash loans_MEAN,0
PREV_NAME_CONTRACT_TYPE_Consumer loans_MEAN,2
PREV_NAME_CONTRACT_TYPE_Revolving loans_MEAN,3
PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,8
PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,13
PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN,0
PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,0
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,3
PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN,0
